menu,amount,kcal
ยำถั่วพู,1 จาน,185
ยำเนื้อย่าง,1 จาน,165
ยำปลากระป๋อง,1 จาน,55
ยำปลาดุกฟู,1 จาน,275
ยำปลาหมึกย่าง,1 จาน,99
ยำผักกะเฉด,1 จาน,115
ยำผักกาดดอง,1 จาน,30
ยำผักบุ้งทอดกรอบ,1 จาน,310
ยำมะเขือยาว,1 จาน,35
ยำมะม่วงทะเล,1 จาน,136
ยำมาม่า,1 จาน,215
ยำแมงกระพรุน,1 จาน,105
ยำรวมมิตรทะเล,1 จาน,132
ยำวุ้นเส้น,1 จาน,120
ยำไส้กรอก,1 จาน,110
ยำหนังหมู,1 จาน,220
ยำหมูย่าง,1 จาน,165
ยำหอยแมลงภู่,1 จาน,60
เย็นตาโฟ,1 ชาม,290
ราดหน้าบะหมี่กรอบ,1 จาน,515
ราดหน้าบะหมี่กรอบไก่,1 จาน,660
ราดหน้าปลากระพง,1 จาน,435
ราดหน้าเส้นใหญ่หมู,1 จาน,405
ราดหน้าหมูหมี่กรอบ,1 จาน,690
ลาบไก่,1 จาน,125
ลาบเนื้อ,1 จาน,119
ลาบปลา,1 จาน,94
ลาบหมู,1 จาน,119
ลูกชิ้นไก่,1 ลูก,6
ลูกชิ้นทอด,1 ลูก,35
ลูกชิ้นเนื้อวัว,1 ลูก,8
ลูกชิ้นปลา,1 ลูก,4
วุ้นเส้นต้มยำ,1 จาน,245
วุ้นเส้นผัดไทยกุ้งสด,1 จาน,520
ไวตามิลค์,1 ขวด,150
ไวน์เชอรี่,1 cc,1
สตรอวเบอร์รี่,1 ผล,60
สเต็กไก่ทอด + มันบด,1 จาน,615
สเต็กปลาย่าง,1 จาน,260
สเต็กหมู + ผักสลัด,1 จาน,505
สปาเกตตี้กะเพรากุ้ง,1 จาน,485
สปาเก็ตตี้ไก่อบ,1 จาน,430
ส้มเขียวหวาน,1 ลูก,32
ส้มเช้ง,1 ผล,60
ส้มตำ ไม่ใส่ถั่ว,1 จาน,80
ส้มตำไทย ไม่ใส่ถั่ว,1 จาน,55
ส้มตำปู ไม่ใส่ถั่ว,1 จาน,35
ส้มตำปูไทย ไม่ใส่ถั่ว,1 จาน,118
ส้มแป้น,1 กิโลกรัม,340
ส้มโอ,1 กรีบ,60
สละหวาน,1 ผล,60
สลัดกุ้ง,1 จาน,92
สลัดกุ้งน้ำใส,1 จาน,92
สลัดไก่,1 จาน,97
สลัดแขก,1 จาน,230
สลัดไข่,1 จาน,123
สลัดเนื้อสันในทอด,1 จาน,490
สลัดปลาทูน่า,1 จาน,122
สับปรด,1 ชิ้นเล็ก,8
สัมปะนี,1 ชิ้น,21
สาคูไส้หมู,1 ลูก,51
สาลี่,1 ผล,116
สำลีหอม,1 ผล,60
สุกี้กุ้ง ไม่ใส่วุ้นเส้น,1 ถ้วย,200
สุกี้ไก่ ไม่ใส่วุ้นเส้น,1 ถ้วย,200
สุกี้น้ำไก่,1 ชาม,345
สุกี้หมู ไม่ใส่วุ้นเส้น,1 ถ้วย,200
สุกี้แห้งทะเล,1 ชาม,280
เส้นก๋วยเตี๋ยวผัดขี้เมา,1 จาน,605
เส้นจันท์ผัดปู,1 จาน,575
เส้นหมี่ลูกชิ้นน้ำใส,1 ชาม,225
เส้นหมี่ลูกชิ้นหมูแห้ง,1 ชาม,430
เส้นใหญ่ผัดซีอิ๊วใส่ไข่,1 จาน,520
ไส้กรอกเนื้อลูกวัวอบสลัดผัก,1 จาน,465
ไส้กรอกอีสาน,1 ลูก,90
ไส้อั่ว,1 คำ,60
หน่อไม้ผัดไข่,1 จาน,200
หมี่กรอบราดหน้าหมู,1 จาน,690
หมี่กะทิ,1 จาน,405
หมี่ซั่วผัด,1 จาน,395
หมูกรอบ,1 จาน,560
หมูกะทะ,1 ชุด,375
หมูคลุกเกร็ดขนมปังทอดซอส,1 ชุด,645
หมูจุ่ม,1 ชุด,375
หมูทอดเนยสลัดน้ำใส,1 จาน,635
หมูน้ำตก,1 จาน,165
หมูบด,1 ช้อนโต๊ะ,50
หมูปิ้ง,1 ไม้,125
หมูผัดขิง,1 จาน,275
หมูแผ่น,1 แผ่นกลาง,120
หมูฝอย,1 ช้อนโต๊ะ,68
หมูยอชุบแป้งทอด,1 ชิ้น,125
หมูย่างเกาหลี,1 ชุด,375
หมูสะเต๊ะ,1 ไม้,115
หมูหยอง,1 ช้อนโต๊ะ,38
หลนปูเค็ม,1 ถ้วย,205
หอยแมลงภู่ทอด,1 จาน,605
หอยแมลงภู่อบหม้อดิน,1 ตัว,17
เห็ดผัดน้ำมันหอย,1 จาน,185
แหนมสด,1 จาน,175
อกไก่ย่าง,1 ชิ้น,110
อกไก่อบ,1 ชิ้น,169
องุ่น,1 เม็ด,16
องุ่นเปรียว,1 เม็ด,3
องุ่นหวาน,1 เม็ด,4
อ้อยควั่น,1 ชิ้น,12
แอปเปิ้ล,1 ลูก,42
โอวัลติน,1 แก้ว,220
ฮะเก๋า,1 ลูกเล็ก,115
ขนมถ้วย,1 ถ้วย,133
กระทงทองไส้ข้าวโพด,1 ชิ้น,72
กระทงทองไส้ไก่,1 ชิ้น,93
กระยาสารท,1 ชิ้นกลาง,210
กล้วยคลุกมะพร้าว,1 ถ้วยเล็ก,100
ขนมชั้น,1 ชิ้น,92
ขนมต้มขาว,1 ลูก,41
ขนมปลากริมไข่เต่า,1 ถ้วย,250
ขนมปังกระเทียม,1 ชิ้น,85
ขนมปังขาไก่,1 ชิ้น,65
ขนมปังปอนด์,1 แผ่น,80
ขนมปังมะพร้าว,1 ชิ้น,235
ขนมปังสังขยา,1 ชิ้น,230
ขนมปังอบกรอบ,1 แผ่นเล็ก,20
ขนมปังไส้กรอก,1 ชิ้น,130
ขนมปังไส้หมูหยอง,1 ชิ้น,185
ขนมหม้อแกง,1 ชิ้น,179
ขนมไหว้พระจันทร์ไส้ทุเรียนกวน,1 ชิ้น,340
ขนมไหว้พระจันทร์ไส้ลูกบัวไข่เค็ม,1 ชิ้น,375
ข้าวกุ้งทอดกระเทียมพริกไทย,1 จาน,495
ข้าวเหนียวหน้ากุ้ง,1 ห่อ,179
ข้าวเหนียวสังขยา,1 ห่อ,370
ครีมเทียม,1 ช้อนชา,45
ครีมโรล,1 ชิ้น,360
คอร์นเฟลค,1 ถ้วยตวง,110
